tx_name	Promoter	5'UTR	CDS	3'UTR	TTS	Intron	Exon	Transcript	chr	start	end	name	strand	gene_id	gene_name	gene_biotype
ENST00000293441.1	6	0	8	3	0	14	11	25	chr19	51165084	51220195	139802	-	ENSG00000161681.11	SHANK1	protein_coding
ENST00000333511.3	5	4	0	1	2	2	5	7	chr19	572565	583490	722	+	ENSG00000172270.14	BSG	protein_coding
ENST00000252729.2	5	0	0	0	0	0	0	0	chr19	54495542	54515923	149156	+	ENSG00000130433.3	CACNG6	protein_coding
ENST00000221485.3	5	2	5	0	1	4	7	11	chr19	49932658	49944808	131723	-	ENSG00000104888.5	SLC17A7	protein_coding
ENST00000302754.4	4	1	3	0	2	0	4	4	chr19	12902310	12904124	46136	+	ENSG00000171223.4	JUNB	protein_coding
ENST00000358552.3	4	0	0	6	0	33	6	39	chr19	13135811	13209610	47712	+	ENSG00000008441.12	NFIX	protein_coding
ENST00000222249.9	4	8	1	0	0	11	9	20	chr19	18062102	18110889	63917	+	ENSG00000105642.11	KCNN1	protein_coding
ENST00000221498.2	4	0	2	0	0	0	2	2	chr19	49866851	49878373	131430	+	ENSG00000104901.2	DKKL1	protein_coding
ENST00000591351.1	4	4	0	2	2	0	6	6	chr19	1876976	1883799	7860	-	ENSG00000129968.11	ABHD17A	protein_coding
ENST00000315396.7	4	0	3	0	0	0	3	3	chr19	48799714	48823332	126356	-	ENSG00000105479.11	CCDC114	protein_coding
ENST00000377214.4	4	1	0	1	0	3	2	5	chr19	49843857	49863695	131303	-	ENSG00000074219.9	TEAD2	protein_coding
ENST00000598463.1	4	3	1	0	2	1	4	5	chr19	51300961	51307132	140077	-	ENSG00000167747.9	C19orf48	protein_coding
ENST00000264563.2	4	4	1	0	0	0	5	5	chr19	55875757	55881741	157631	-	ENSG00000095752.2	IL11	protein_coding
ENST00000313093.2	3	2	19	0	0	2	21	23	chr19	1067174	1086627	3244	+	ENSG00000180448.6	HMHA1	protein_coding
ENST00000590347.1	3	3	0	1	0	1	4	5	chr19	1269332	1274804	4748	+	ENSG00000099622.9	CIRBP	protein_coding
ENST00000535453.1	3	1	18	4	0	0	23	23	chr19	1451288	1473237	6119	+	ENSG00000115266.7	APC2	protein_coding
ENST00000264832.3	3	0	1	0	0	0	1	1	chr19	10381511	10397291	34447	+	ENSG00000090339.4	ICAM1	protein_coding
ENST00000600252.1	3	0	0	0	0	0	0	0	chr19	15219644	15225785	53324	+	ENSG00000105137.8	SYDE1	protein_coding
ENST00000334370.4	3	1	16	0	0	1	17	18	chr19	42829761	42882921	109372	+	ENSG00000105429.8	MEGF8	protein_coding
ENST00000339613.2	3	1	1	0	0	4	2	6	chr19	46801659	46846690	120486	+	ENSG00000124440.11	HIF3A	protein_coding
ENST00000263269.3	3	5	6	0	0	7	11	18	chr19	48898132	48948188	126800	+	ENSG00000105464.3	GRIN2D	protein_coding
ENST00000291934.3	3	6	0	0	1	0	6	6	chr19	55888204	55889612	157684	+	ENSG00000160472.4	TMEM190	protein_coding
ENST00000375190.4	3	2	0	0	0	1	2	3	chr19	3594504	3606838	12614	-	ENSG00000006638.7	TBXA2R	protein_coding
ENST00000539827.1	3	0	3	0	0	0	3	3	chr19	19040012	19050444	67787	-	ENSG00000051128.14	HOMER3	protein_coding
ENST00000222032.5	3	1	1	0	0	1	2	3	chr19	42891171	42894439	109587	-	ENSG00000105427.5	CNFN	protein_coding
ENST00000536630.1	3	2	7	0	0	1	9	10	chr19	46112660	46146985	118317	-	ENSG00000125746.10	EML2	protein_coding
ENST00000597017.1	3	5	0	0	0	0	5	5	chr19	48885835	48894112	126766	-	ENSG00000105438.4	KDELR1	protein_coding
ENST00000389208.4	3	3	0	0	0	0	3	3	chr19	51014861	51017142	139533	-	ENSG00000204653.5	ASPDH	protein_coding
ENST00000338916.4	3	0	3	0	0	0	3	3	chr19	51125234	51141302	139629	-	ENSG00000213023.5	SYT3	protein_coding
ENST00000251287.2	2	2	9	2	0	7	13	20	chr19	589893	617159	828	+	ENSG00000099822.2	HCN2	protein_coding
ENST00000215582.6	2	1	0	0	2	2	1	3	chr19	751126	764319	1315	+	ENSG00000099812.6	MISP	protein_coding
ENST00000300952.2	2	30	5	3	8	0	38	38	chr19	1248552	1259139	4403	+	ENSG00000167470.8	MIDN	protein_coding
ENST00000311401.5	2	0	1	1	0	0	2	2	chr19	1356323	1378430	5264	+	ENSG00000160953.10	MUM1	protein_coding
ENST00000334770.4	2	1	6	0	0	0	7	7	chr19	1524958	1535455	6720	+	ENSG00000185988.7	PLK5	protein_coding
ENST00000382349.4	2	3	9	3	0	18	15	33	chr19	1752372	1780987	7333	+	ENSG00000205922.4	ONECUT3	protein_coding
ENST00000221856.6	2	1	6	0	0	0	7	7	chr19	4304597	4323833	15107	+	ENSG00000105255.6	FSD1	protein_coding
ENST00000590872.1	2	0	0	1	0	0	1	1	chr19	4475346	4502213	16080	+	ENSG00000167674.10	HDGFRP2	protein_coding
ENST00000245817.3	2	1	4	0	0	1	5	6	chr19	6531010	6535931	22643	+	ENSG00000125657.3	TNFSF9	protein_coding
ENST00000309469.4	2	1	4	0	0	0	5	5	chr19	10654594	10664094	35831	+	ENSG00000130734.5	ATG4D	protein_coding
ENST00000316737.1	2	0	0	0	0	1	0	1	chr19	11406824	11437672	40164	+	ENSG00000130167.9	TSPAN16	protein_coding
ENST00000316448.5	2	1	6	0	0	0	7	7	chr19	13049421	13055303	47185	+	ENSG00000179218.9	CALR	protein_coding
ENST00000252595.7	2	2	6	0	0	1	8	9	chr19	17581253	17616977	61128	+	ENSG00000130304.12	SLC27A1	protein_coding
ENST00000318596.7	2	2	7	0	0	1	9	10	chr19	19174808	19223697	68562	+	ENSG00000181035.9	SLC25A42	protein_coding
ENST00000586018.1	2	2	6	0	0	0	8	8	chr19	19649057	19657468	70629	+	ENSG00000160161.5	CILP2	protein_coding
ENST00000436066.3	2	1	0	0	0	2	1	3	chr19	30155963	30166364	75179	+	ENSG00000166289.5	PLEKHF1	protein_coding
ENST00000361922.4	2	2	3	1	0	1	6	7	chr19	35783037	35804707	81274	+	ENSG00000105695.10	MAG	protein_coding
ENST00000360202.5	2	1	0	0	0	0	1	1	chr19	36347824	36358011	85828	+	ENSG00000126259.15	KIRREL2	protein_coding
ENST00000598976.1	2	0	0	0	0	0	0	0	chr19	42212531	42265190	106651	+	ENSG00000267881.1	CEA	protein_coding
ENST00000221992.6	2	0	0	0	0	0	0	0	chr19	42212537	42233718	106581	+	ENSG00000105388.10	CEACAM5	protein_coding
ENST00000164227.5	2	3	9	0	0	3	12	15	chr19	45251804	45263301	114715	+	ENSG00000069399.8	BCL3	protein_coding
ENST00000252486.4	2	8	0	0	0	0	8	8	chr19	45409011	45412650	115156	+	ENSG00000130203.5	APOE	protein_coding
ENST00000331825.6	2	2	0	0	0	0	2	2	chr19	49468558	49470135	129126	+	ENSG00000087086.9	FTL	protein_coding
ENST00000252826.5	2	3	4	0	0	0	7	7	chr19	49660998	49715093	130489	+	ENSG00000130529.11	TRPM4	protein_coding
ENST00000447857.3	2	1	0	0	0	9	1	10	chr19	49891475	49921251	131482	+	ENSG00000161609.5	CCDC155	protein_coding
ENST00000391857.4	2	0	0	0	0	0	0	0	chr19	49990811	49995565	132614	+	ENSG00000142541.12	RPL13A	protein_coding
ENST00000221543.5	2	2	6	0	0	0	8	8	chr19	50380682	50392001	136191	+	ENSG00000104946.6	TBC1D17	protein_coding
ENST00000250340.4	2	0	3	0	0	0	3	3	chr19	51226586	51228974	139976	+	ENSG00000105472.8	CLEC11A	protein_coding
ENST00000391767.1	2	4	0	1	0	0	5	5	chr19	54412589	54447195	149094	+	ENSG00000105605.3	CACNG7	protein_coding
ENST00000270458.2	2	1	6	0	0	1	7	8	chr19	54466294	54493469	149140	+	ENSG00000142408.2	CACNG8	protein_coding
ENST00000431846.1	2	0	0	2	0	0	2	2	chr19	54962467	54973195	152407	+	ENSG00000167615.12	LENG8	protein_coding
ENST00000598855.1	2	0	0	0	0	0	0	0	chr19	55738587	55741647	156735	+	ENSG00000269808.1	AC010327.2	protein_coding
ENST00000596046.1	2	0	0	0	0	0	0	0	chr19	58898656	58906173	164971	+	ENSG00000083845.4	RPS5	protein_coding
ENST00000601382.1	2	0	1	0	0	0	1	1	chr19	58907457	58908407	164992	+	ENSG00000269855.1	AC012313.1	protein_coding
ENST00000264554.6	2	0	13	0	0	5	13	18	chr19	416583	460996	350	-	ENSG00000129946.6	SHC2	protein_coding
ENST00000447102.3	2	2	3	0	0	1	5	6	chr19	1398252	1401569	5655	-	ENSG00000130005.7	GAMT	protein_coding
ENST00000250896.3	2	6	25	2	0	2	33	35	chr19	2037481	2051243	8309	-	ENSG00000099875.10	MKNK2	protein_coding
ENST00000585395.2	2	0	2	0	1	0	2	2	chr19	2321520	2328561	9619	-	ENSG00000130332.10	LSM7	protein_coding
ENST00000301272.2	2	0	0	0	0	1	0	1	chr19	4292229	4302428	15071	-	ENSG00000167664.4	TMIGD2	protein_coding
ENST00000591998.1	2	0	0	0	0	0	0	0	chr19	9404951	9420249	30648	-	ENSG00000196110.3	ZNF699	protein_coding
ENST00000340790.4	2	0	4	0	0	0	4	4	chr19	14164177	14169971	49906	-	ENSG00000187867.4	PALM3	protein_coding
ENST00000308677.4	2	2	0	1	0	4	3	7	chr19	14202500	14228556	50049	-	ENSG00000072062.9	PRKACA	protein_coding
ENST00000588692.1	2	0	0	0	0	0	0	0	chr19	14519662	14524032	50697	-	ENSG00000123136.10	DDX39A	protein_coding
ENST00000292513.3	2	2	5	0	0	0	7	7	chr19	14583278	14586174	51118	-	ENSG00000160951.3	PTGER1	protein_coding
ENST00000392413.4	2	1	1	0	0	0	2	2	chr19	18367908	18385319	64960	-	ENSG00000130518.12	KIAA1683	protein_coding
ENST00000240587.4	2	4	0	0	0	7	4	11	chr19	31765851	31840453	75747	-	ENSG00000121297.6	TSHZ3	protein_coding
ENST00000339686.3	2	0	7	0	0	0	7	7	chr19	35988122	36004554	82122	-	ENSG00000161249.16	DMKN	protein_coding
ENST00000221419.5	2	2	2	0	0	0	4	4	chr19	39327028	39340973	95583	-	ENSG00000104824.12	HNRNPL	protein_coding
ENST00000262888.3	2	3	2	0	0	3	5	8	chr19	44270685	44285409	112294	-	ENSG00000104783.7	KCNN4	protein_coding
ENST00000221476.3	2	0	2	0	0	4	2	6	chr19	45809672	45826235	116630	-	ENSG00000104879.4	CKM	protein_coding
ENST00000291294.2	2	0	0	1	1	0	1	1	chr19	47123725	47128375	121187	-	ENSG00000160013.4	PTGIR	protein_coding
ENST00000410105.2	2	4	0	0	0	0	4	4	chr19	47153405	47164395	121279	-	ENSG00000197380.6	DACT3	protein_coding
ENST00000433867.1	2	4	6	0	0	1	10	11	chr19	47177574	47220384	121408	-	ENSG00000105287.8	PRKD2	protein_coding
ENST00000221421.2	2	0	4	0	0	0	4	4	chr19	49519237	49520338	129578	-	ENSG00000104826.7	LHB	protein_coding
ENST00000451356.2	2	1	0	0	0	2	1	3	chr19	49559050	49568333	129812	-	ENSG00000225950.3	NTF4	protein_coding
ENST00000252825.4	2	1	8	0	0	0	9	9	chr19	49654455	49658681	130429	-	ENSG00000130528.7	HRC	protein_coding
ENST00000391833.1	2	0	4	1	0	1	5	6	chr19	50372295	50378542	136083	-	ENSG00000204673.6	AKT1S1	protein_coding
ENST00000326856.4	2	0	0	0	0	1	0	1	chr19	51328561	51340469	140318	-	ENSG00000174562.9	KLK15	protein_coding
ENST00000324041.1	2	0	1	1	0	0	2	2	chr19	51409608	51413994	140788	-	ENSG00000167749.7	KLK4	protein_coding
ENST00000333834.4	2	2	1	0	0	0	3	3	chr19	54972981	54974894	152452	-	ENSG00000182909.5	LENG9	protein_coding
ENST00000376325.4	2	0	6	1	0	1	7	8	chr19	55940107	55954230	157898	-	ENSG00000187902.7	SHISA7	protein_coding
ENST00000413299.1	2	4	0	0	0	1	4	5	chr19	56041100	56048456	158175	-	ENSG00000187550.4	SBK2	protein_coding
ENST00000359315.5	1	1	4	1	0	4	6	10	chr19	507299	519654	540	+	ENSG00000141933.8	TPGS1	protein_coding
ENST00000264553.3	1	2	9	0	3	1	11	12	chr19	544034	549919	650	+	ENSG00000197540.3	GZMM	protein_coding
ENST00000264560.7	1	3	4	2	0	11	9	20	chr19	708953	748328	1224	+	ENSG00000099864.13	PALM	protein_coding
ENST00000590230.1	1	0	0	0	0	0	0	0	chr19	851014	856242	1702	+	ENSG00000197561.2	ELANE	protein_coding
ENST00000251289.5	1	3	9	0	1	1	12	13	chr19	984331	994569	2292	+	ENSG00000065268.6	WDR18	protein_coding
ENST00000354171.8	1	7	0	3	0	0	10	10	chr19	1103936	1106778	3728	+	ENSG00000167468.12	GPX4	protein_coding
ENST00000215375.2	1	2	0	1	3	0	3	3	chr19	1241749	1244824	4330	+	ENSG00000099624.3	ATP5D	protein_coding
ENST00000215368.2	1	3	3	1	0	11	7	18	chr19	1286153	1301430	5389	+	ENSG00000099617.2	EFNA2	protein_coding
ENST00000592623.1	1	2	0	0	0	0	2	2	chr19	1438400	1440492	5882	+	ENSG00000115268.5	RPS15	protein_coding
ENST00000316097.8	1	3	1	2	0	1	6	7	chr19	1905213	1926016	7898	+	ENSG00000227500.5	SCAMP4	protein_coding
ENST00000329478.2	1	3	1	0	0	1	4	5	chr19	1905377	1913444	7996	+	ENSG00000213638.4	ADAT3	protein_coding
ENST00000334241.4	1	1	1	0	0	0	2	2	chr19	2841433	2860482	10466	+	ENSG00000186300.7	ZNF555	protein_coding
ENST00000589123.1	1	9	11	8	2	31	28	59	chr19	3359561	3469215	11800	+	ENSG00000141905.13	NFIC	protein_coding
ENST00000541714.2	1	0	1	0	0	8	1	9	chr19	3708107	3750810	12997	+	ENSG00000105289.10	TJP3	protein_coding
ENST00000450849.2	1	3	1	0	0	4	4	8	chr19	3880581	3928077	13812	+	ENSG00000167654.13	ATCAY	protein_coding
ENST00000262962.7	1	0	1	0	0	3	1	4	chr19	4247076	4269087	14970	+	ENSG00000105248.11	CCDC94	protein_coding
ENST00000543264.2	1	4	1	0	0	0	5	5	chr19	4278598	4290721	15005	+	ENSG00000105251.6	SHD	protein_coding
ENST00000536716.1	1	3	0	1	0	1	4	5	chr19	4640029	4655580	16418	+	ENSG00000185361.4	TNFAIP8L1	protein_coding
ENST00000303212.2	1	0	2	0	1	1	2	3	chr19	5823813	5828335	19774	+	ENSG00000171119.2	NRTN	protein_coding
ENST00000306708.6	1	2	0	0	0	1	2	3	chr19	7953390	7966901	27037	+	ENSG00000171017.6	LRRC8E	protein_coding
ENST00000253451.4	1	0	0	0	0	0	0	0	chr19	8117651	8127506	27573	+	ENSG00000131142.9	CCL25	protein_coding
ENST00000301455.2	1	1	1	0	0	1	2	3	chr19	8429035	8439257	28578	+	ENSG00000167772.7	ANGPTL4	protein_coding
ENST00000328024.6	1	2	0	0	0	2	2	4	chr19	8455083	8469318	28725	+	ENSG00000185236.7	RAB11B	protein_coding
ENST00000358666.3	1	0	0	0	0	0	0	0	chr19	9938568	9940791	32491	+	ENSG00000198258.6	UBL5	protein_coding
ENST00000449870.1	1	2	3	0	0	1	5	6	chr19	10764937	10803093	36709	+	ENSG00000129351.13	ILF3	protein_coding
ENST00000252444.5	1	0	5	0	0	3	5	8	chr19	11201275	11244492	39413	+	ENSG00000130164.7	LDLR	protein_coding
ENST00000312423.2	1	2	0	0	0	0	2	2	chr19	11485361	11487627	40783	+	ENSG00000173928.2	SWSAP1	protein_coding
ENST00000254323.2	1	1	0	3	3	1	4	5	chr19	13906274	13943044	49003	+	ENSG00000132003.5	ZSWIM4	protein_coding
ENST00000269720.2	1	0	8	1	0	1	9	10	chr19	14183348	14185873	49946	+	ENSG00000141854.3	hsa-mir-1199	protein_coding
ENST00000600083.1	1	5	1	0	0	8	6	14	chr19	14640406	14676792	51518	+	ENSG00000099797.7	TECR	protein_coding
ENST00000300935.3	1	3	0	0	0	1	3	4	chr19	16222439	16245044	55828	+	ENSG00000167461.7	RAB8A	protein_coding
ENST00000187762.2	1	3	0	0	0	0	3	3	chr19	16771938	16800840	57754	+	ENSG00000072954.2	TMEM38A	protein_coding
ENST00000600519.1	1	0	9	0	0	0	9	9	chr19	17638097	17664454	61613	+	ENSG00000167483.13	FAM129C	protein_coding
ENST00000597436.1	1	0	4	1	1	2	5	7	chr19	18045905	18054800	63892	+	ENSG00000007080.6	CCDC124	protein_coding
ENST00000602094.1	1	0	0	0	0	0	0	0	chr19	18669922	18680188	66340	+	ENSG00000105700.6	KXD1	protein_coding
ENST00000253193.7	1	2	2	0	0	2	4	6	chr19	33685490	33698694	77354	+	ENSG00000130881.9	LRP3	protein_coding
ENST00000435734.2	1	2	0	0	0	2	2	4	chr19	35606799	35615227	79915	+	ENSG00000089356.12	FXYD3	protein_coding
ENST00000392197.2	1	0	1	0	0	0	1	1	chr19	36195429	36207940	84181	+	ENSG00000011590.9	ZBTB32	protein_coding
ENST00000246551.4	1	0	2	0	0	0	2	2	chr19	36393382	36395279	86301	+	ENSG00000126264.5	HCST	protein_coding
ENST00000435416.1	1	0	0	0	0	0	0	0	chr19	37099322	37119172	88395	+	ENSG00000161298.12	ZNF382	protein_coding
ENST00000529555.1	1	1	0	0	0	0	1	1	chr19	37342065	37370471	88852	+	ENSG00000251247.5	ZNF345	protein_coding
ENST00000337995.3	1	2	0	0	0	2	2	4	chr19	37569382	37621213	89219	+	ENSG00000197050.6	ZNF420	protein_coding
ENST00000222345.6	1	1	5	1	0	26	7	33	chr19	38397868	38699012	91339	+	ENSG00000105738.6	SIPA1L3	protein_coding
