chrPeak	startPeak	endPeak	idPeak	scorePeak	strandPeak	chrfeature	startfeature	endfeature	widthfeature	strandfeature	tx_name	feature_name
chr19	290591	292002	ZNF281_ChIPseq_peak_34999a	1	*	chr19	291336	291386	50	-	ENST00000269812.3	5'UTR
chr19	290591	292002	ZNF281_ChIPseq_peak_34999b	1	*	chr19	291336	291386	50	-	ENST00000269812.3	5'UTR
chr19	290591	292002	ZNF281_ChIPseq_peak_34999c	1	*	chr19	291336	291386	50	-	ENST00000269812.3	5'UTR
chr19	344159	345052	ZNF281_ChIPseq_peak_35006a	1	*	chr19	344782	344793	11	-	ENST00000264819.4	5'UTR
chr19	344159	345052	ZNF281_ChIPseq_peak_35006b	1	*	chr19	344782	344793	11	-	ENST00000264819.4	5'UTR
chr19	375478	376384	ZNF281_ChIPseq_peak_35009a	1	*	chr19	375970	376013	43	-	ENST00000342640.4	5'UTR
chr19	375478	376384	ZNF281_ChIPseq_peak_35009b	1	*	chr19	375970	376013	43	-	ENST00000342640.4	5'UTR
chr19	375478	376384	ZNF281_ChIPseq_peak_35009c	1	*	chr19	375970	376013	43	-	ENST00000342640.4	5'UTR
chr19	408204	409525	ZNF281_ChIPseq_peak_35014a	1	*	chr19	408361	408401	40	-	ENST00000332235.6	5'UTR
chr19	408204	409525	ZNF281_ChIPseq_peak_35014a	1	*	chr19	409005	409139	134	-	ENST00000332235.6	5'UTR
chr19	408204	409525	ZNF281_ChIPseq_peak_35014b	1	*	chr19	408361	408401	40	-	ENST00000332235.6	5'UTR
chr19	408204	409525	ZNF281_ChIPseq_peak_35014b	1	*	chr19	409005	409139	134	-	ENST00000332235.6	5'UTR
chr19	474068	475052	ZNF281_ChIPseq_peak_35031a	1	*	chr19	474747	474983	236	-	ENST00000315489.4	5'UTR
chr19	474068	475052	ZNF281_ChIPseq_peak_35031b	1	*	chr19	474747	474983	236	-	ENST00000315489.4	5'UTR
chr19	474068	475052	ZNF281_ChIPseq_peak_35031c	1	*	chr19	474747	474983	236	-	ENST00000315489.4	5'UTR
chr19	488841	489760	ZNF281_ChIPseq_peak_35035a	1	*	chr19	489175	490029	854	+	ENST00000587541.1	5'UTR
chr19	488841	489760	ZNF281_ChIPseq_peak_35035b	1	*	chr19	489175	490029	854	+	ENST00000587541.1	5'UTR
chr19	488841	489760	ZNF281_ChIPseq_peak_35035c	1	*	chr19	489175	490029	854	+	ENST00000587541.1	5'UTR
chr19	507502	507794	ZNF281_ChIPseq_peak_35043	1	*	chr19	507298	507506	208	+	ENST00000359315.5	5'UTR
chr19	530851	532864	ZNF281_ChIPseq_peak_35053a	1	*	chr19	531713	531931	218	+	ENST00000215574.4	5'UTR
chr19	530851	532864	ZNF281_ChIPseq_peak_35053b	1	*	chr19	531713	531931	218	+	ENST00000215574.4	5'UTR
chr19	530851	532864	ZNF281_ChIPseq_peak_35053c	1	*	chr19	531713	531931	218	+	ENST00000215574.4	5'UTR
chr19	530851	532864	ZNF281_ChIPseq_peak_35053d	1	*	chr19	531713	531931	218	+	ENST00000215574.4	5'UTR
chr19	530851	532864	ZNF281_ChIPseq_peak_35053e	1	*	chr19	531713	531931	218	+	ENST00000215574.4	5'UTR
chr19	530851	532864	ZNF281_ChIPseq_peak_35053f	1	*	chr19	531713	531931	218	+	ENST00000215574.4	5'UTR
chr19	530851	532864	ZNF281_ChIPseq_peak_35053g	1	*	chr19	531713	531931	218	+	ENST00000215574.4	5'UTR
chr19	543868	544543	ZNF281_ChIPseq_peak_35055a	1	*	chr19	544033	544071	38	+	ENST00000264553.3	5'UTR
chr19	543868	544543	ZNF281_ChIPseq_peak_35055b	1	*	chr19	544033	544071	38	+	ENST00000264553.3	5'UTR
chr19	572131	573332	ZNF281_ChIPseq_peak_35064a	1	*	chr19	572564	572634	70	+	ENST00000333511.3	5'UTR
chr19	572131	573332	ZNF281_ChIPseq_peak_35064b	1	*	chr19	572564	572634	70	+	ENST00000333511.3	5'UTR
chr19	572131	573332	ZNF281_ChIPseq_peak_35064c	1	*	chr19	572564	572634	70	+	ENST00000333511.3	5'UTR
chr19	572131	573332	ZNF281_ChIPseq_peak_35064d	1	*	chr19	572564	572634	70	+	ENST00000333511.3	5'UTR
chr19	589283	590008	ZNF281_ChIPseq_peak_35070a	1	*	chr19	589892	589945	53	+	ENST00000251287.2	5'UTR
chr19	589283	590008	ZNF281_ChIPseq_peak_35070b	1	*	chr19	589892	589945	53	+	ENST00000251287.2	5'UTR
chr19	662877	663587	ZNF281_ChIPseq_peak_35094a	1	*	chr19	663121	663277	156	-	ENST00000292363.5	5'UTR
chr19	662877	663587	ZNF281_ChIPseq_peak_35094b	1	*	chr19	663121	663277	156	-	ENST00000292363.5	5'UTR
chr19	662877	663587	ZNF281_ChIPseq_peak_35094c	1	*	chr19	663121	663277	156	-	ENST00000292363.5	5'UTR
chr19	676217	676442	ZNF281_ChIPseq_peak_35096	1	*	chr19	676391	676423	32	+	ENST00000166139.4	5'UTR
chr19	708240	710033	ZNF281_ChIPseq_peak_35102a	1	*	chr19	708952	709146	194	+	ENST00000264560.7	5'UTR
chr19	708240	710033	ZNF281_ChIPseq_peak_35102b	1	*	chr19	708952	709146	194	+	ENST00000264560.7	5'UTR
chr19	708240	710033	ZNF281_ChIPseq_peak_35102c	1	*	chr19	708952	709146	194	+	ENST00000264560.7	5'UTR
chr19	750874	751181	ZNF281_ChIPseq_peak_35119	1	*	chr19	751125	751171	46	+	ENST00000215582.6	5'UTR
chr19	796962	797976	ZNF281_ChIPseq_peak_35127a	1	*	chr19	797074	797497	423	+	ENST00000356948.6	5'UTR
chr19	796962	797976	ZNF281_ChIPseq_peak_35127b	1	*	chr19	797074	797497	423	+	ENST00000356948.6	5'UTR
chr19	820897	822775	ZNF281_ChIPseq_peak_35140a	1	*	chr19	821559	821585	26	-	ENST00000359894.2	5'UTR
chr19	820897	822775	ZNF281_ChIPseq_peak_35140a	1	*	chr19	821914	821952	38	-	ENST00000359894.2	5'UTR
chr19	820897	822775	ZNF281_ChIPseq_peak_35140b	1	*	chr19	821559	821585	26	-	ENST00000359894.2	5'UTR
chr19	820897	822775	ZNF281_ChIPseq_peak_35140b	1	*	chr19	821914	821952	38	-	ENST00000359894.2	5'UTR
chr19	820897	822775	ZNF281_ChIPseq_peak_35140c	1	*	chr19	821559	821585	26	-	ENST00000359894.2	5'UTR
chr19	820897	822775	ZNF281_ChIPseq_peak_35140c	1	*	chr19	821914	821952	38	-	ENST00000359894.2	5'UTR
chr19	820897	822775	ZNF281_ChIPseq_peak_35140d	1	*	chr19	821559	821585	26	-	ENST00000359894.2	5'UTR
chr19	820897	822775	ZNF281_ChIPseq_peak_35140d	1	*	chr19	821914	821952	38	-	ENST00000359894.2	5'UTR
chr19	820897	822775	ZNF281_ChIPseq_peak_35140e	1	*	chr19	821559	821585	26	-	ENST00000359894.2	5'UTR
chr19	820897	822775	ZNF281_ChIPseq_peak_35140e	1	*	chr19	821914	821952	38	-	ENST00000359894.2	5'UTR
chr19	820897	822775	ZNF281_ChIPseq_peak_35140f	1	*	chr19	821559	821585	26	-	ENST00000359894.2	5'UTR
chr19	820897	822775	ZNF281_ChIPseq_peak_35140f	1	*	chr19	821914	821952	38	-	ENST00000359894.2	5'UTR
chr19	843333	844654	ZNF281_ChIPseq_peak_35147a	1	*	chr19	843340	843522	182	+	ENST00000544537.2	5'UTR
chr19	843333	844654	ZNF281_ChIPseq_peak_35147b	1	*	chr19	843340	843522	182	+	ENST00000544537.2	5'UTR
chr19	843333	844654	ZNF281_ChIPseq_peak_35147c	1	*	chr19	843340	843522	182	+	ENST00000544537.2	5'UTR
chr19	892784	893188	ZNF281_ChIPseq_peak_35160	1	*	chr19	893085	893216	131	-	ENST00000606248.1	5'UTR
chr19	912253	913479	ZNF281_ChIPseq_peak_35166a	1	*	chr19	913157	913231	74	-	ENST00000361574.5	5'UTR
chr19	912253	913479	ZNF281_ChIPseq_peak_35166b	1	*	chr19	913157	913231	74	-	ENST00000361574.5	5'UTR
chr19	916988	920731	ZNF281_ChIPseq_peak_35167a	1	*	chr19	917349	917502	153	+	ENST00000234371.5	5'UTR
chr19	916988	920731	ZNF281_ChIPseq_peak_35167b	1	*	chr19	917349	917502	153	+	ENST00000234371.5	5'UTR
chr19	916988	920731	ZNF281_ChIPseq_peak_35167c	1	*	chr19	917349	917502	153	+	ENST00000234371.5	5'UTR
chr19	916988	920731	ZNF281_ChIPseq_peak_35167d	1	*	chr19	917349	917502	153	+	ENST00000234371.5	5'UTR
chr19	916988	920731	ZNF281_ChIPseq_peak_35167e	1	*	chr19	917349	917502	153	+	ENST00000234371.5	5'UTR
chr19	916988	920731	ZNF281_ChIPseq_peak_35167f	1	*	chr19	917349	917502	153	+	ENST00000234371.5	5'UTR
chr19	916988	920731	ZNF281_ChIPseq_peak_35167g	1	*	chr19	917349	917502	153	+	ENST00000234371.5	5'UTR
chr19	916988	920731	ZNF281_ChIPseq_peak_35167h	1	*	chr19	917349	917502	153	+	ENST00000234371.5	5'UTR
chr19	916988	920731	ZNF281_ChIPseq_peak_35167i	1	*	chr19	917349	917502	153	+	ENST00000234371.5	5'UTR
chr19	916988	920731	ZNF281_ChIPseq_peak_35167j	1	*	chr19	917349	917502	153	+	ENST00000234371.5	5'UTR
chr19	924587	926412	ZNF281_ChIPseq_peak_35171a	1	*	chr19	925999	926059	60	+	ENST00000263620.3	5'UTR
chr19	924587	926412	ZNF281_ChIPseq_peak_35171b	1	*	chr19	925999	926059	60	+	ENST00000263620.3	5'UTR
chr19	924587	926412	ZNF281_ChIPseq_peak_35171c	1	*	chr19	925999	926059	60	+	ENST00000263620.3	5'UTR
